2025-11-05 21:15:15,963 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:29,212 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:30,022 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,841 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,974 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-16 15:05:00
2025-11-05 21:15:36,974 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-16 15:20:00
2025-11-05 21:15:36,974 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-16 20:50:00
2025-11-05 21:15:36,975 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-16 20:55:00
2025-11-05 21:15:36,975 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-16 21:00:00
2025-11-05 21:15:36,975 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-16 21:05:00
2025-11-05 21:15:36,975 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-16 21:15:00
2025-11-05 21:15:36,976 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-16 21:20:00
2025-11-05 21:15:36,976 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-16 21:25:00
2025-11-05 21:15:36,976 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-16 21:30:00
2025-11-05 21:15:36,976 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-16 21:55:00
2025-11-05 21:15:36,977 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-16 22:25:00
2025-11-05 21:15:36,977 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-16 22:50:00
